mitigation_option,year,scenario,file_name
Afforestation,2020,SSP1-19,Afforestation_SSP1-19_2020.tif
BECCS,2020,SSP1-19,BECCS_SSP1-19_2020.tif
Afforestation,2020,SSP1-26,Afforestation_SSP1-26_2020.tif
BECCS,2020,SSP1-26,BECCS_SSP1-26_2020.tif
Afforestation,2020,SSP1-34,Afforestation_SSP1-34_2020.tif
BECCS,2020,SSP1-34,BECCS_SSP1-34_2020.tif
Afforestation,2020,SSP1-45,Afforestation_SSP1-45_2020.tif
BECCS,2020,SSP1-45,BECCS_SSP1-45_2020.tif
Afforestation,2020,SSP1-Baseline,Afforestation_SSP1-Baseline_2020.tif
BECCS,2020,SSP1-Baseline,BECCS_SSP1-Baseline_2020.tif
Afforestation,2020,SSP2-19,Afforestation_SSP2-19_2020.tif
BECCS,2020,SSP2-19,BECCS_SSP2-19_2020.tif
Afforestation,2020,SSP2-26,Afforestation_SSP2-26_2020.tif
BECCS,2020,SSP2-26,BECCS_SSP2-26_2020.tif
Afforestation,2020,SSP2-34,Afforestation_SSP2-34_2020.tif
BECCS,2020,SSP2-34,BECCS_SSP2-34_2020.tif
Afforestation,2020,SSP2-45,Afforestation_SSP2-45_2020.tif
BECCS,2020,SSP2-45,BECCS_SSP2-45_2020.tif
Afforestation,2020,SSP2-60,Afforestation_SSP2-60_2020.tif
BECCS,2020,SSP2-60,BECCS_SSP2-60_2020.tif
Afforestation,2020,SSP2-Baseline,Afforestation_SSP2-Baseline_2020.tif
BECCS,2020,SSP2-Baseline,BECCS_SSP2-Baseline_2020.tif
Afforestation,2020,SSP3-34,Afforestation_SSP3-34_2020.tif
BECCS,2020,SSP3-34,BECCS_SSP3-34_2020.tif
Afforestation,2020,SSP3-45,Afforestation_SSP3-45_2020.tif
BECCS,2020,SSP3-45,BECCS_SSP3-45_2020.tif
Afforestation,2020,SSP3-60,Afforestation_SSP3-60_2020.tif
BECCS,2020,SSP3-60,BECCS_SSP3-60_2020.tif
Afforestation,2020,SSP3-Baseline,Afforestation_SSP3-Baseline_2020.tif
BECCS,2020,SSP3-Baseline,BECCS_SSP3-Baseline_2020.tif
Afforestation,2030,SSP1-19,Afforestation_SSP1-19_2030.tif
BECCS,2030,SSP1-19,BECCS_SSP1-19_2030.tif
Afforestation,2030,SSP1-26,Afforestation_SSP1-26_2030.tif
BECCS,2030,SSP1-26,BECCS_SSP1-26_2030.tif
Afforestation,2030,SSP1-34,Afforestation_SSP1-34_2030.tif
BECCS,2030,SSP1-34,BECCS_SSP1-34_2030.tif
Afforestation,2030,SSP1-45,Afforestation_SSP1-45_2030.tif
BECCS,2030,SSP1-45,BECCS_SSP1-45_2030.tif
Afforestation,2030,SSP1-Baseline,Afforestation_SSP1-Baseline_2030.tif
BECCS,2030,SSP1-Baseline,BECCS_SSP1-Baseline_2030.tif
Afforestation,2030,SSP2-19,Afforestation_SSP2-19_2030.tif
BECCS,2030,SSP2-19,BECCS_SSP2-19_2030.tif
Afforestation,2030,SSP2-26,Afforestation_SSP2-26_2030.tif
BECCS,2030,SSP2-26,BECCS_SSP2-26_2030.tif
Afforestation,2030,SSP2-34,Afforestation_SSP2-34_2030.tif
BECCS,2030,SSP2-34,BECCS_SSP2-34_2030.tif
Afforestation,2030,SSP2-45,Afforestation_SSP2-45_2030.tif
BECCS,2030,SSP2-45,BECCS_SSP2-45_2030.tif
Afforestation,2030,SSP2-60,Afforestation_SSP2-60_2030.tif
BECCS,2030,SSP2-60,BECCS_SSP2-60_2030.tif
Afforestation,2030,SSP2-Baseline,Afforestation_SSP2-Baseline_2030.tif
BECCS,2030,SSP2-Baseline,BECCS_SSP2-Baseline_2030.tif
Afforestation,2030,SSP3-34,Afforestation_SSP3-34_2030.tif
BECCS,2030,SSP3-34,BECCS_SSP3-34_2030.tif
Afforestation,2030,SSP3-45,Afforestation_SSP3-45_2030.tif
BECCS,2030,SSP3-45,BECCS_SSP3-45_2030.tif
Afforestation,2030,SSP3-60,Afforestation_SSP3-60_2030.tif
BECCS,2030,SSP3-60,BECCS_SSP3-60_2030.tif
Afforestation,2030,SSP3-Baseline,Afforestation_SSP3-Baseline_2030.tif
BECCS,2030,SSP3-Baseline,BECCS_SSP3-Baseline_2030.tif
Afforestation,2040,SSP1-19,Afforestation_SSP1-19_2040.tif
BECCS,2040,SSP1-19,BECCS_SSP1-19_2040.tif
Afforestation,2040,SSP1-26,Afforestation_SSP1-26_2040.tif
BECCS,2040,SSP1-26,BECCS_SSP1-26_2040.tif
Afforestation,2040,SSP1-34,Afforestation_SSP1-34_2040.tif
BECCS,2040,SSP1-34,BECCS_SSP1-34_2040.tif
Afforestation,2040,SSP1-45,Afforestation_SSP1-45_2040.tif
BECCS,2040,SSP1-45,BECCS_SSP1-45_2040.tif
Afforestation,2040,SSP1-Baseline,Afforestation_SSP1-Baseline_2040.tif
BECCS,2040,SSP1-Baseline,BECCS_SSP1-Baseline_2040.tif
Afforestation,2040,SSP2-19,Afforestation_SSP2-19_2040.tif
BECCS,2040,SSP2-19,BECCS_SSP2-19_2040.tif
Afforestation,2040,SSP2-26,Afforestation_SSP2-26_2040.tif
BECCS,2040,SSP2-26,BECCS_SSP2-26_2040.tif
Afforestation,2040,SSP2-34,Afforestation_SSP2-34_2040.tif
BECCS,2040,SSP2-34,BECCS_SSP2-34_2040.tif
Afforestation,2040,SSP2-45,Afforestation_SSP2-45_2040.tif
BECCS,2040,SSP2-45,BECCS_SSP2-45_2040.tif
Afforestation,2040,SSP2-60,Afforestation_SSP2-60_2040.tif
BECCS,2040,SSP2-60,BECCS_SSP2-60_2040.tif
Afforestation,2040,SSP2-Baseline,Afforestation_SSP2-Baseline_2040.tif
BECCS,2040,SSP2-Baseline,BECCS_SSP2-Baseline_2040.tif
Afforestation,2040,SSP3-34,Afforestation_SSP3-34_2040.tif
BECCS,2040,SSP3-34,BECCS_SSP3-34_2040.tif
Afforestation,2040,SSP3-45,Afforestation_SSP3-45_2040.tif
BECCS,2040,SSP3-45,BECCS_SSP3-45_2040.tif
Afforestation,2040,SSP3-60,Afforestation_SSP3-60_2040.tif
BECCS,2040,SSP3-60,BECCS_SSP3-60_2040.tif
Afforestation,2040,SSP3-Baseline,Afforestation_SSP3-Baseline_2040.tif
BECCS,2040,SSP3-Baseline,BECCS_SSP3-Baseline_2040.tif
Afforestation,2050,SSP1-19,Afforestation_SSP1-19_2050.tif
BECCS,2050,SSP1-19,BECCS_SSP1-19_2050.tif
Afforestation,2050,SSP1-26,Afforestation_SSP1-26_2050.tif
BECCS,2050,SSP1-26,BECCS_SSP1-26_2050.tif
Afforestation,2050,SSP1-34,Afforestation_SSP1-34_2050.tif
BECCS,2050,SSP1-34,BECCS_SSP1-34_2050.tif
Afforestation,2050,SSP1-45,Afforestation_SSP1-45_2050.tif
BECCS,2050,SSP1-45,BECCS_SSP1-45_2050.tif
Afforestation,2050,SSP1-Baseline,Afforestation_SSP1-Baseline_2050.tif
BECCS,2050,SSP1-Baseline,BECCS_SSP1-Baseline_2050.tif
Afforestation,2050,SSP2-19,Afforestation_SSP2-19_2050.tif
BECCS,2050,SSP2-19,BECCS_SSP2-19_2050.tif
Afforestation,2050,SSP2-26,Afforestation_SSP2-26_2050.tif
BECCS,2050,SSP2-26,BECCS_SSP2-26_2050.tif
Afforestation,2050,SSP2-34,Afforestation_SSP2-34_2050.tif
BECCS,2050,SSP2-34,BECCS_SSP2-34_2050.tif
Afforestation,2050,SSP2-45,Afforestation_SSP2-45_2050.tif
BECCS,2050,SSP2-45,BECCS_SSP2-45_2050.tif
Afforestation,2050,SSP2-60,Afforestation_SSP2-60_2050.tif
BECCS,2050,SSP2-60,BECCS_SSP2-60_2050.tif
Afforestation,2050,SSP2-Baseline,Afforestation_SSP2-Baseline_2050.tif
BECCS,2050,SSP2-Baseline,BECCS_SSP2-Baseline_2050.tif
Afforestation,2050,SSP3-34,Afforestation_SSP3-34_2050.tif
BECCS,2050,SSP3-34,BECCS_SSP3-34_2050.tif
Afforestation,2050,SSP3-45,Afforestation_SSP3-45_2050.tif
BECCS,2050,SSP3-45,BECCS_SSP3-45_2050.tif
Afforestation,2050,SSP3-60,Afforestation_SSP3-60_2050.tif
BECCS,2050,SSP3-60,BECCS_SSP3-60_2050.tif
Afforestation,2050,SSP3-Baseline,Afforestation_SSP3-Baseline_2050.tif
BECCS,2050,SSP3-Baseline,BECCS_SSP3-Baseline_2050.tif
Afforestation,2060,SSP1-19,Afforestation_SSP1-19_2060.tif
BECCS,2060,SSP1-19,BECCS_SSP1-19_2060.tif
Afforestation,2060,SSP1-26,Afforestation_SSP1-26_2060.tif
BECCS,2060,SSP1-26,BECCS_SSP1-26_2060.tif
Afforestation,2060,SSP1-34,Afforestation_SSP1-34_2060.tif
BECCS,2060,SSP1-34,BECCS_SSP1-34_2060.tif
Afforestation,2060,SSP1-45,Afforestation_SSP1-45_2060.tif
BECCS,2060,SSP1-45,BECCS_SSP1-45_2060.tif
Afforestation,2060,SSP1-Baseline,Afforestation_SSP1-Baseline_2060.tif
BECCS,2060,SSP1-Baseline,BECCS_SSP1-Baseline_2060.tif
Afforestation,2060,SSP2-19,Afforestation_SSP2-19_2060.tif
BECCS,2060,SSP2-19,BECCS_SSP2-19_2060.tif
Afforestation,2060,SSP2-26,Afforestation_SSP2-26_2060.tif
BECCS,2060,SSP2-26,BECCS_SSP2-26_2060.tif
Afforestation,2060,SSP2-34,Afforestation_SSP2-34_2060.tif
BECCS,2060,SSP2-34,BECCS_SSP2-34_2060.tif
Afforestation,2060,SSP2-45,Afforestation_SSP2-45_2060.tif
BECCS,2060,SSP2-45,BECCS_SSP2-45_2060.tif
Afforestation,2060,SSP2-60,Afforestation_SSP2-60_2060.tif
BECCS,2060,SSP2-60,BECCS_SSP2-60_2060.tif
Afforestation,2060,SSP2-Baseline,Afforestation_SSP2-Baseline_2060.tif
BECCS,2060,SSP2-Baseline,BECCS_SSP2-Baseline_2060.tif
Afforestation,2060,SSP3-34,Afforestation_SSP3-34_2060.tif
BECCS,2060,SSP3-34,BECCS_SSP3-34_2060.tif
Afforestation,2060,SSP3-45,Afforestation_SSP3-45_2060.tif
BECCS,2060,SSP3-45,BECCS_SSP3-45_2060.tif
Afforestation,2060,SSP3-60,Afforestation_SSP3-60_2060.tif
BECCS,2060,SSP3-60,BECCS_SSP3-60_2060.tif
Afforestation,2060,SSP3-Baseline,Afforestation_SSP3-Baseline_2060.tif
BECCS,2060,SSP3-Baseline,BECCS_SSP3-Baseline_2060.tif
Afforestation,2070,SSP1-19,Afforestation_SSP1-19_2070.tif
BECCS,2070,SSP1-19,BECCS_SSP1-19_2070.tif
Afforestation,2070,SSP1-26,Afforestation_SSP1-26_2070.tif
BECCS,2070,SSP1-26,BECCS_SSP1-26_2070.tif
Afforestation,2070,SSP1-34,Afforestation_SSP1-34_2070.tif
BECCS,2070,SSP1-34,BECCS_SSP1-34_2070.tif
Afforestation,2070,SSP1-45,Afforestation_SSP1-45_2070.tif
BECCS,2070,SSP1-45,BECCS_SSP1-45_2070.tif
Afforestation,2070,SSP1-Baseline,Afforestation_SSP1-Baseline_2070.tif
BECCS,2070,SSP1-Baseline,BECCS_SSP1-Baseline_2070.tif
Afforestation,2070,SSP2-19,Afforestation_SSP2-19_2070.tif
BECCS,2070,SSP2-19,BECCS_SSP2-19_2070.tif
Afforestation,2070,SSP2-26,Afforestation_SSP2-26_2070.tif
BECCS,2070,SSP2-26,BECCS_SSP2-26_2070.tif
Afforestation,2070,SSP2-34,Afforestation_SSP2-34_2070.tif
BECCS,2070,SSP2-34,BECCS_SSP2-34_2070.tif
Afforestation,2070,SSP2-45,Afforestation_SSP2-45_2070.tif
BECCS,2070,SSP2-45,BECCS_SSP2-45_2070.tif
Afforestation,2070,SSP2-60,Afforestation_SSP2-60_2070.tif
BECCS,2070,SSP2-60,BECCS_SSP2-60_2070.tif
Afforestation,2070,SSP2-Baseline,Afforestation_SSP2-Baseline_2070.tif
BECCS,2070,SSP2-Baseline,BECCS_SSP2-Baseline_2070.tif
Afforestation,2070,SSP3-34,Afforestation_SSP3-34_2070.tif
BECCS,2070,SSP3-34,BECCS_SSP3-34_2070.tif
Afforestation,2070,SSP3-45,Afforestation_SSP3-45_2070.tif
BECCS,2070,SSP3-45,BECCS_SSP3-45_2070.tif
Afforestation,2070,SSP3-60,Afforestation_SSP3-60_2070.tif
BECCS,2070,SSP3-60,BECCS_SSP3-60_2070.tif
Afforestation,2070,SSP3-Baseline,Afforestation_SSP3-Baseline_2070.tif
BECCS,2070,SSP3-Baseline,BECCS_SSP3-Baseline_2070.tif
Afforestation,2080,SSP1-19,Afforestation_SSP1-19_2080.tif
BECCS,2080,SSP1-19,BECCS_SSP1-19_2080.tif
Afforestation,2080,SSP1-26,Afforestation_SSP1-26_2080.tif
BECCS,2080,SSP1-26,BECCS_SSP1-26_2080.tif
Afforestation,2080,SSP1-34,Afforestation_SSP1-34_2080.tif
BECCS,2080,SSP1-34,BECCS_SSP1-34_2080.tif
Afforestation,2080,SSP1-45,Afforestation_SSP1-45_2080.tif
BECCS,2080,SSP1-45,BECCS_SSP1-45_2080.tif
Afforestation,2080,SSP1-Baseline,Afforestation_SSP1-Baseline_2080.tif
BECCS,2080,SSP1-Baseline,BECCS_SSP1-Baseline_2080.tif
Afforestation,2080,SSP2-19,Afforestation_SSP2-19_2080.tif
BECCS,2080,SSP2-19,BECCS_SSP2-19_2080.tif
Afforestation,2080,SSP2-26,Afforestation_SSP2-26_2080.tif
BECCS,2080,SSP2-26,BECCS_SSP2-26_2080.tif
