scenario,rcp,ssp
SSP1_SCENRCP1P9_SPA1,19,SSP1
SSP1_SCENRCP2P6_SPA1,26,SSP1
SSP1_SCENRCP3P7_SPA1,34,SSP1
SSP1_SCENRCP4P5_SPA1,45,SSP1
SSP1_SCENRCP6P0_SPA1,60,SSP1
SSP1_SCENRCPREF_SPA1,Baseline,SSP1
SSP2_SCENRCP1P9_SPA2,19,SSP2
SSP2_SCENRCP2P6_SPA2,26,SSP2
SSP2_SCENRCP3P7_SPA2,34,SSP2
SSP2_SCENRCP4P5_SPA2,45,SSP2
SSP2_SCENRCP6P0_SPA2,60,SSP2
SSP2_SCENRCPREF_SPA2,Baseline,SSP2
SSP3_SCENRCP3P7_SPA3,34,SSP3
SSP3_SCENRCP4P5_SPA3,45,SSP3
SSP3_SCENRCP6P0_SPA3,60,SSP3
SSP3_SCENRCPREF_SPA3,Baseline,SSP3
