Model,Scenario,Region,Year,Residues,Energy_crops,Waste,Solid_total,Prim_eng_bio,Unit,Share_energy_crops,Source,Estimation
AIM,SSP1-19,World,2020,4234.135572,7852.513296,,,,Kt/yr,0.65,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-19,World,2030,15763.52391,71640.94586,,,,Kt/yr,0.82,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-19,World,2040,41754.5273,393604.1979,,,,Kt/yr,0.9,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-19,World,2050,99479.77681,511126.4914,,,,Kt/yr,0.84,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-19,World,2060,172940.4736,828509.2403,,,,Kt/yr,0.83,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-19,World,2070,256954.4072,1022099.864,,,,Kt/yr,0.8,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-19,World,2080,348260.2763,1066397.675,,,,Kt/yr,0.75,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-19,World,2090,442725.0165,1068451.018,,,,Kt/yr,0.71,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-19,World,2100,500871.9096,1039222.084,,,,Kt/yr,0.67,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-26,World,2020,4234.135572,7852.513295,,,,Kt/yr,0.65,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-26,World,2030,8702.225153,37969.17071,,,,Kt/yr,0.81,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-26,World,2040,20934.63775,327605.6995,,,,Kt/yr,0.94,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-26,World,2050,32355.7186,647172.1498,,,,Kt/yr,0.95,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-26,World,2060,49260.86916,963003.4613,,,,Kt/yr,0.95,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-26,World,2070,97834.01587,851076.0665,,,,Kt/yr,0.9,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-26,World,2080,127908.7392,902440.1137,,,,Kt/yr,0.88,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-26,World,2090,171463.2804,1001868.251,,,,Kt/yr,0.85,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-26,World,2100,191347.1564,1053514.7,,,,Kt/yr,0.85,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-34,World,2020,4215.856151,7681.960363,,,,Kt/yr,0.65,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-34,World,2030,7048.262974,27207.8437,,,,Kt/yr,0.79,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-34,World,2040,12418.99436,194228.9806,,,,Kt/yr,0.94,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-34,World,2050,20029.94713,472011.0731,,,,Kt/yr,0.96,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-34,World,2060,31314.31746,856068.744,,,,Kt/yr,0.96,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-34,World,2070,44239.16825,1132257.969,,,,Kt/yr,0.96,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-34,World,2080,55194.98928,1246578.887,,,,Kt/yr,0.96,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-34,World,2090,63850.14333,1359789.465,,,,Kt/yr,0.96,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-34,World,2100,69686.64027,1456128.454,,,,Kt/yr,0.95,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-45,World,2020,4223.258962,7526.485256,,,,Kt/yr,0.64,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-45,World,2030,6941.065452,19264.16699,,,,Kt/yr,0.74,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-45,World,2040,11450.38661,62942.85071,,,,Kt/yr,0.85,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-45,World,2050,16780.47239,244282.3384,,,,Kt/yr,0.94,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-45,World,2060,23210.70715,524569.831,,,,Kt/yr,0.96,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-45,World,2070,31179.33517,868653.8771,,,,Kt/yr,0.97,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-45,World,2080,39782.883,1052687.435,,,,Kt/yr,0.96,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-45,World,2090,48137.64487,1177739.634,,,,Kt/yr,0.96,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-45,World,2100,56058.3855,1278637.995,,,,Kt/yr,0.96,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-60,World,2020,4257.148099,7580.846124,,,,Kt/yr,0.64,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-60,World,2030,6973.974218,19334.58283,,,,Kt/yr,0.73,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-60,World,2040,11482.6493,63048.57276,,,,Kt/yr,0.85,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-60,World,2050,17052.84016,238427.7845,,,,Kt/yr,0.93,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-60,World,2060,23402.88505,458066.577,,,,Kt/yr,0.95,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-60,World,2070,30253.94252,705120.7652,,,,Kt/yr,0.96,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-60,World,2080,36793.29836,970305.3539,,,,Kt/yr,0.96,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-60,World,2090,42487.22273,1064466.98,,,,Kt/yr,0.96,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-60,World,2100,47807.65634,1119654.738,,,,Kt/yr,0.96,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-Baseline,World,2020,4260.950645,7607.058258,,,,Kt/yr,0.64,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-Baseline,World,2030,6984.758919,19819.11364,,,,Kt/yr,0.74,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-Baseline,World,2040,11501.80434,66527.09535,,,,Kt/yr,0.85,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-Baseline,World,2050,17087.89777,254877.8184,,,,Kt/yr,0.94,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-Baseline,World,2060,23477.4365,486424.1692,,,,Kt/yr,0.95,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-Baseline,World,2070,30440.38554,752825.8433,,,,Kt/yr,0.96,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-Baseline,World,2080,37005.86499,1027858.808,,,,Kt/yr,0.97,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-Baseline,World,2090,42682.19092,1120379.581,,,,Kt/yr,0.96,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP1-Baseline,World,2100,48005.91383,1170058.853,,,,Kt/yr,0.96,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-19,World,2020,5427.553333,10171.57803,,,,Kt/yr,0.65,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-19,World,2030,36595.85829,218879.5916,,,,Kt/yr,0.86,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-19,World,2040,191536.1822,1079763.813,,,,Kt/yr,0.85,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-19,World,2050,357175.0355,1415689.672,,,,Kt/yr,0.8,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-19,World,2060,558795.9199,2138945.731,,,,Kt/yr,0.79,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-19,World,2070,749738.842,2654331.014,,,,Kt/yr,0.78,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-19,World,2080,920118.6679,2963949.572,,,,Kt/yr,0.76,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-19,World,2090,1040955.262,3272388.794,,,,Kt/yr,0.76,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-19,World,2100,1101668.132,3582212.063,,,,Kt/yr,0.76,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-26,World,2020,5260.977955,9803.267208,,,,Kt/yr,0.65,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-26,World,2030,14927.52231,76379.66478,,,,Kt/yr,0.84,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-26,World,2040,51317.29167,783062.5992,,,,Kt/yr,0.94,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-26,World,2050,128483.7692,1121206.679,,,,Kt/yr,0.9,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-26,World,2060,245075.9299,1522098.54,,,,Kt/yr,0.86,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-26,World,2070,446064.2385,1993338.885,,,,Kt/yr,0.82,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-26,World,2080,607021.8848,2255091.039,,,,Kt/yr,0.79,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-26,World,2090,724590.9551,2500452.863,,,,Kt/yr,0.78,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-26,World,2100,810272.0311,2725630.251,,,,Kt/yr,0.77,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-34,World,2020,5136.293526,9538.252155,,,,Kt/yr,0.65,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-34,World,2030,11081.35717,53043.76568,,,,Kt/yr,0.83,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-34,World,2040,25403.07083,523656.7721,,,,Kt/yr,0.95,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-34,World,2050,50496.44798,1149312.861,,,,Kt/yr,0.96,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-34,World,2060,90711.54761,1840520.657,,,,Kt/yr,0.95,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-34,World,2070,148556.7975,2244944.99,,,,Kt/yr,0.94,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-34,World,2080,225334.2241,2200063.768,,,,Kt/yr,0.91,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-34,World,2090,298769.8545,2216029.944,,,,Kt/yr,0.88,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-34,World,2100,365696.6719,2420376.809,,,,Kt/yr,0.87,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-45,World,2020,5055.330486,9359.688716,,,,Kt/yr,0.65,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-45,World,2030,9604.461913,42811.14675,,,,Kt/yr,0.82,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-45,World,2040,18846.31446,376005.5889,,,,Kt/yr,0.95,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-45,World,2050,36226.8125,906884.2264,,,,Kt/yr,0.96,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-45,World,2060,67907.1881,1579852.231,,,,Kt/yr,0.96,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-45,World,2070,112125.1764,2108193.711,,,,Kt/yr,0.95,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-45,World,2080,160342.919,2412206.27,,,,Kt/yr,0.94,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-45,World,2090,203850.7984,2799684.021,,,,Kt/yr,0.93,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-45,World,2100,243614.8966,3199349.495,,,,Kt/yr,0.93,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-60,World,2020,5026.458091,9131.908288,,,,Kt/yr,0.64,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-60,World,2030,9471.901672,39118.4631,,,,Kt/yr,0.81,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-60,World,2040,18436.53766,342439.6352,,,,Kt/yr,0.95,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-60,World,2050,33853.90709,826885.3467,,,,Kt/yr,0.96,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-60,World,2060,55770.75046,1363834.537,,,,Kt/yr,0.96,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-60,World,2070,83085.81725,1779448.734,,,,Kt/yr,0.96,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-60,World,2080,115117.6586,2061037.643,,,,Kt/yr,0.95,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-60,World,2090,145600.9691,2348290.684,,,,Kt/yr,0.94,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-60,World,2100,170789.0357,2636823.085,,,,Kt/yr,0.94,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-Baseline,World,2020,5060.485711,8710.680866,,,,Kt/yr,0.63,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-Baseline,World,2030,9537.614439,22089.09712,,,,Kt/yr,0.7,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-Baseline,World,2040,18128.36012,57171.22782,,,,Kt/yr,0.76,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-Baseline,World,2050,31541.82772,150979.2916,,,,Kt/yr,0.83,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-Baseline,World,2060,50295.13915,279833.624,,,,Kt/yr,0.85,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-Baseline,World,2070,73911.5568,447158.925,,,,Kt/yr,0.86,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-Baseline,World,2080,102659.3887,623282.2224,,,,Kt/yr,0.86,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP2-Baseline,World,2090,130531.1933,720748.4196,,,,Kt/yr,0.85,Internal document,Share = Energy crops / (Energy crops + Residues)
